Country Code,Population,Dependency Ratio,Unemployment,Literacy,Poverty,Population Growth
af,0,0,0,0,0,0
ba,0,0,0,0,0,0
cy,0,0,0,0,0,0
eg,0,0,0,0,0,0
ir,0,0,0,0,0,0
iz,0,0,0,0,0,0
is,0,0,0,0,0,0
jo,0,0,0,0,0,0
ku,0,0,0,0,0,0
le,0,0,0,0,0,0
ly,0,0,0,0,0,0
mu,0,0,0,0,0,0
pk,0,0,0,0,0,0
qa,0,0,0,0,0,0
rs,0,0,0,0,0,0
sa,0,0,0,0,0,0
su,0,0,0,0,0,0
sy,0,0,0,0,0,0
tu,0,0,0,0,0,0
ae,0,0,0,0,0,0
us,0,0,0,0,0,0
ym,0,0,0,0,0,0
