"","Country.Code","Infrastructure","Society","Demographics","Economy","Geography"
"1","af",17.7584303689578,-3.85603122899875,13.5300199274292,0.282228859427407,0.148292499034725
"2","ba",5.38089408540069,14.5577391229622,6.87888257591707,6.11637181487901,0.000172795331809931
"3","cy",5.18484655198843,11.5487442787012,7.29666394330077,3.91998379296661,0.00223721982842602
"4","eg",3.4831851646193,6.14601592299341,14.0305331788338,3.13610495437934,0.308026786919892
"5","ir",8.49167243548474,4.13305553259062,10.8470099306765,8.77470704141076,1.93591095732037
"6","iz",13.2811753974373,5.48532734022868,12.7971898339808,7.28810162383578,0.112376433790518
"7","is",2.35412392928692,10.4705946444168,8.23872210986621,5.38293701507319,0.0106135356092327
"8","jo",6.28400069215049,1.77193168507471,8.53082996757378,1.50355134229605,0.0275431356660375
"9","ku",2.15750619984529,8.5868357226231,6.02109285652111,12.0495259518063,0.00405114108182809
"10","le",4.60587076831656,7.76376715784291,6.42790194072118,2.23876851787481,0.00464072129780928
"11","ly",-4.40819052779328,7.98428162882163,10.3917825778101,2.33748547215174,0.400053023859008
"12","mu",6.97315318154898,8.01107900961382,7.68550286509099,6.5289122217215,0.0703686252568075
"13","pk",7.26229879400594,0.553307752079504,17.5626069984469,1.60065214337428,0.518676054293617
"14","qa",3.27589082090954,17.7584006064946,6.33019426888482,17.3427264569244,0.00263421936098666
"15","rs",12.0718834035464,8.35161293174854,12.7785639667315,23.6664179149385,13.5343697824677
"16","sa",9.51535181570583,7.59020061705003,8.84513645625655,21.5167156243661,0.488758416892751
"17","su",3.10732696894421,0.461047432942397,11.0638276149076,0.841260264210214,NA
"18","sy",-0.42789295409067,5.006956380294,13.6841203596292,0.532583477975631,0.0628561119397752
"19","tu",7.26753039738216,6.01711493984315,11.003856627638,6.42075662682113,0.364663145579721
"20","ae",4.60338210093013,14.120987016833,6.32077468407701,15.9937734042712,0.0190074864990924
"21","us",24.593286829232,10.4176237644757,20.9116589182237,82.2564249144857,11.419702488527
"22","ym",-12.3254026258101,3.23640440021757,12.5113829568815,0.437216996226397,0.120040007559244
